SampleID,Month,Site,Source_plant,Plot,Plant,sampID,Timepoint,Coll_date,Cultivar,Sample_type,Collection_criteria,Source,LibraryGroup,SeqGroup,LibraryConc_ng.ul,Weight,HeightRyan,TestWeight,Yield,PercProtein,SoilMoist,Latitude,Longitude,HeightColl,Temp_col,Prec_grw,SGB,SNB,RustScore,Mildew,leafN,leafP,leafK,leafCa,leafMg,leafS,leafFe,leafMn,leafZn,leafCu,leafB,leafNa,leafAl,HM,W/V,CEC,BS,Ac,pH,soilP,soilK,soilCa,soilMg,soilS,soilMn,soilZn,soilCu,soilNa,Host_Month,Wheat,Grass,Herb
M22_16S_g04_F07,April,UNIVT,Acer_sp,forest,p138,M22_0983,Heading,4/28/23,nonwheat,nonwheat,,sample,4,1,4.52,NA,NA,NA,NA,NA,15.5,34.9507333,-80.4260796,1000,16.4,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.87,10.4,83,1.8,5.6,43,71,1371,198,14,61.8,7.4,2.3,0.1,nonwheat_April,nonwheat,No,No
M22_16S_g12_A02,April,UNIVT,Acer_sp,forest,p140,M22_0985,Heading,4/28/23,nonwheat,nonwheat,,sample,12,3,5,NA,NA,NA,NA,NA,15.5,34.9507333,-80.4260796,1000,16.4,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.87,10.4,83,1.8,5.6,43,71,1371,198,14,61.8,7.4,2.3,0.1,nonwheat_April,nonwheat,No,No
M22_16S_g20_F09,April,UNIVT,Acer_sp,forest,p136,M22_0981,Heading,4/28/23,nonwheat,nonwheat,,sample,20,5,5,NA,NA,NA,NA,NA,15.5,34.9507333,-80.4260796,1000,16.4,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.87,10.4,83,1.8,5.6,43,71,1371,198,14,61.8,7.4,2.3,0.1,nonwheat_April,nonwheat,No,No
M22_16S_g28_A07,April,UNIVT,Acer_sp,forest,p137,M22_0982,Heading,4/28/23,nonwheat,nonwheat,,sample,28,7,5,NA,NA,NA,NA,NA,15.5,34.9507333,-80.4260796,1000,16.4,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.87,10.4,83,1.8,5.6,43,71,1371,198,14,61.8,7.4,2.3,0.1,nonwheat_April,nonwheat,No,No
M22_16S_g31_G11,April,UNIVT,Acer_sp,forest,p139,M22_0984,Heading,4/28/23,nonwheat,nonwheat,,sample,31,8,5,NA,NA,NA,NA,NA,15.5,34.9507333,-80.4260796,1000,16.4,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.87,10.4,83,1.8,5.6,43,71,1371,198,14,61.8,7.4,2.3,0.1,nonwheat_April,nonwheat,No,No
M22_16S_g01_C07,March,WAKMP,Allium_vineale,forest,p109,M22_2511,Jointing,3/10/23,nonwheat,nonwheat,,sample,1,1,5,NA,NA,NA,NA,NA,26.4,35.7344444,-78.70138889,40,12.7,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.6,10.6,65,3.7,4.9,48,225,805,281,18,66.8,49.2,2.6,0.1,nonwheat_March,nonwheat,No,Yes
M22_16S_g01_D11,March,WAKMP,Allium_vineale,forest,p111,M22_2513,Jointing,3/10/23,nonwheat,nonwheat,,sample,1,1,2.74,NA,NA,NA,NA,NA,26.4,35.7344444,-78.70138889,26,12.7,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.6,10.6,65,3.7,4.9,48,225,805,281,18,66.8,49.2,2.6,0.1,nonwheat_March,nonwheat,No,Yes
M22_16S_g02_A07,March,WASVT,Allium_vineale,t2p3,p066,M22_2731,Jointing,3/27/23,nonwheat,nonwheat,,sample,2,1,2.76,NA,NA,NA,NA,NA,16.9,35.84838155,-76.65566228,43,13.2,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01,0.88,9.9,68,3.1,5.2,63,192,877,229,22,3.3,2.4,0.5,0.2,nonwheat_March,nonwheat,No,Yes
M22_16S_g02_A12,April,WASVT,Allium_vineale,t2p3,p046,M22_1480,Heading,5/9/23,nonwheat,nonwheat,,sample,2,1,5,NA,NA,NA,NA,NA,14,35.84867355,-76.65538728,62,16.2,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,0.79,11.1,80,2.2,5.6,137,290,1143,288,17,7.1,4.8,1,0.1,nonwheat_April,nonwheat,No,Yes
M22_16S_g02_C08,April,WASVT,Allium_vineale,t2p4,p047,M22_1492,Heading,5/9/23,nonwheat,nonwheat,,sample,2,1,1.96,NA,NA,NA,NA,NA,20.5,35.84864233,-76.65547142,56,16.2,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,0.855,10.6,76.5,2.5,5.4,91,205,1072.5,267,19,5.65,4.15,0.95,0.1,nonwheat_April,nonwheat,No,Yes
